United States,441.44
Netherlands,67.06
Canada,61.22
United Kingdom,32.62
Romania,31.69
Germany,18.22
Mexico,14.64
Norway,13.13
China People's Republic of,11.48
Italy,11.3
Algeria,9.68
Bolivarian Republic of Venezuela,9.57
Indonesia,9.26
Iran Islamic Republic of,7.1
Brunei Darussalam,6.86
France,6.6
Argentina,6.37
Australia,6.12
Hungary,6.01
Poland,5.96
Kuwait,5.11
Saudi Arabia,4.81
United Arab Emirates,4.79
Libya,4.29
Pakistan,4.06
Japan,2.33
Bahrain,2.17
Austria,2.1
Trinidad and Tobago,2.09
Malaysia,2.03
Colombia,1.96
Plurinational State of Bolivia,1.83
Chinese Taipei,1.59
India,1.42
Iraq,1.39
New Zealand,1.28
Qatar,1.21
Chile,1.21
Nigeria,0.78
Bangladesh,0.73
Brazil,0.65
Egypt,0.57
Slovak Republic,0.48
Peru,0.44
Czech Republic,0.38
Albania,0.3
Tunisia,0.28
Myanmar,0.23
Oman,0.13
Morocco,0.07
Angola,0.06
Israel,0.05
Gabon,0.03
Syrian Arab Republic,0.03
Belgium,0.03
Bulgaria,0.02
Cuba,0.01
,827.27
